Topic Number,제목
25,bhc치킨 밀레니얼 세대와 소통 다각화 브랜드 친밀도 높인다
25,김종천 시장 거동 불편 가구 응급안전서비스 수시 점검해달라
25,롯데홈쇼핑 초복 맞아 소외 계층에 원기회복 키트 전달
26,중 장년 쓸쓸한 혼밥 그만서울시 1인 가구 위한 소셜 다이닝 첫발
26,역경의 열매 최일도  베다일 설립 아픈 영혼에 밥과 복음 전해
26,박애주의 실천 대상에 김하종 신부 아시아 필란트로피 어워드 6명 선정
26,nh농협생명 지역사회 어르신과 설 맞이 온기 나눔 행사 진행
26,기억장애 수호천사 적극 추진해 노인 보호와 실종 문제 해결
26,신간 그림책 상자 속 요술 고양이 출간 독거노인길고양이 묘사
26,1024 경기고용 대책신규 일자리 체험형인턴에 화재감시원전통시장 미화원 효과 제한적일
26,유흥비 마련 위해 독거노인 통장서 수백만원 빼간 40대
26,따뜻한 겨울 나세요 우리금융 취약계층 2000가구에 방한용품 지원
26,이복현 연탄 나눔 어려울수록 취약계층에 두터운 지원 필요
27,돈 없으니 119 부르지마라 독거노인의 부탁에 20만원 건넨 여성의 정체
27,서울형 긴급복지 소득 재산 기준 한시 완화 실직 폐업자도 지원
27,비즈스토리 온기를 나눕니다  임직원 봉사단 11년째 취약계층에 연탄 생필품 전달
27,기업 브리핑 연말 데이터 사용량 급증 대비해 특별 대책 외
27,health 연명의료 환자의사 의견 다르다면 심의거쳐 의사교체 가능
27,행안부 모바일 고지 식약처 공유주방 혁신 적극행정의 모범
27,최대 300만원 서울형 긴급복지 연말까지 한시적 기준 완화
27,코로나 지원금 준다며 사기 81억 고흐 그림 도난도
27,폭염 속 더위 먹지 않도록 조심해야 온열질환 주의보
27,제2회 김우중 의료인상 이정옥 소장 이효민 전문의 선정
28,코로나19 확산 기업 사회공헌 다각화 임직원 직접 참여하는 능동적인 나눔 확대
28,단독 새로운 위기 의심가구 달마다 30씩 나와 비수급 빈곤 리포트5회
28,인천 손은 약손 프로젝트 가동 암 환자 등에게 의료비 지원
28,집과 삶 주거권 가난해도 최소한 난방은 돼야  보일러 고쳐주는 학생들
28,확산되는 동반성장 대한항공 몽골 사막화 방지 나무심기 10여년째 지속
28,해피콜 세계 여성의 날 맞아 2000만원 상당 냄비 기부
28,온라인으로 대출금리 비교 변경 유니버셜 디자인 확대 정부혁신종합계획 발표
28,29번 환자의 부인도 확진국내 확진 환자 30명 격리해제 9명
28,홍진경 결식자 저소득층 위해 2억 4000만 기부 공식
28,코로나 재택치료자 내일부터 모든 동네 약국서 약 받는다
29,인천시 성매매 여성에게 1인당 최대 2260만원 지원경제적 자립 도와야 vs 불법행위 정당화 찬반논란 격화
29,오파스넷 독거노인 대상 응급안전 안심서비스 구축사업 계약 체결 600억원 규모
29,건강한 가족 뇌졸중 안전망 구축해 지속 가능한 치료 환경 조성해야
29,sk 사회공헌은 비용 아닌 가치 창출 통한 새 성장 기회
29,코로나19 확산 비상한국에서 받은 도움 되갚아야죠 취약계층 마스크 만드는 난민들
29,집중관리군 2회 모니터링 먹는 약 처방일반관리군 증상 악화되면 비대면 진료
29,남의 집에 10년째 무단 거주한 나가 달라면 때리고 학대
29,공익적 가치 1인당 428만원 산림청 11월 숲가꾸기 기간 운영
29,슐랭 가이드  이곳을 빼고 부천의 맛을 입에 담지 말라
29,365mc 다이어트 계획 실천하면 소외 이웃에 도시락 기부 캠페인
30,독거노인 행패 스스로 응급실가서 입원시켜달라 떡볶이 직원 얼굴에 던져
30,반려견 뽀야 키운 덕에 반려인능력시험 1등 반려생활은 이론보다 마음
30,원광대 연구팀 치유 곤충 활용 프로그램 개발 보급
30,한화 설 명절 협력사에 대금 1100억 조기 지급
30,롯데마트 샤롯데 봉사단 설 명절 독거노인 점심 제공
30,무주 일가족 5명 가스중독사 연통 막힌 보일러가 원인
30,최영미 시인의 심플라이프 고통 시간을 견디는 노래
30,신민아김우빈 기부 수재민 위해 나란히 5천만원씩 쾌척
30,신민아김우빈 선행도 커플로 집중호우 피해복구에 5000만원 기부
30,일화 장애청소년과 해외유학생 위한 꿈씨발전기금 3000만원 후원
31,세이프 코리아 리포트재난안전 더이상의 땜질은 없다 최악의 인재 세월호 참사가 국민 재난인식 바꿨다
31,기도해 주세요 지영공동체 23년 섬기던 목사님 유방암 딸 회복 치료비 없어 곤란
31,사랑과 희망을 나누는 기업효성 매년 임직원 장애아동 가족 동반 여행 도와
31,인천시 전국 최초 취약계층 주민세 감면 추진 출산지원금 15만50만 상향
31,성동구 홀몸 어르신 도로명주소 sos스티커 배부 관악구 ai안부전화 스마트돌봄시스템 강화
31,weekend interview 장사의 신 꿈꾸는 청년사업가 이광민 경양카츠 대표
31,숨은 감염원 출현 유증상자 접촉 29번 환자 감염경로 오리무중
31,서울시 전국 최초 쪽방촌 표준평면 개발 영등포 쪽방촌부터 추진
31,동상 저체온증 31 연말연시 집중 한파 속 과음 위험해요
31,윤균상 유튜버 유정호 관심 촉구 글 사과 불편하게 죄송
32,희곡 심사평 신춘의 희곡 쓰기 지향점 보여 주는 나침반 같은 작품
32,현장영상 정 총리 개강 위해 입국하는 중국 유학생 특별 입국절차 밟을
32,올해 폭염 온열질환 첫 사망자 경남서 발생 환자 작년 2배 넘어
32,경북소방본부 폭염 시간대 야외활동주의 당부  올해 48명 이송 열탈진 58
32,삼성물산 래미안 코로나19로 지친 입주민들을 위한 고객만족 프로그램 진행
32,의정 포커스 신복자 동대문구의원 발달장애인 품앗이 돌봄 공간 마련
32,올해 첫 폭염 사망자 발생 환자 작년 2배 넘어
32,조규홍 복지부 장관 취임 핵심 역할 약자복지 실현할
32,한성대 언택트 시대 사회봉사 운영 성과 공유회 진행
32,로컬 브리핑 강동구 햇살 가득한 방 만들기 확대
33,이르면 2주 뒤 실내 마스크 외 모든 방역 해제 모임 행사 의료 전 분야 일상회복 추진
33,박해진 노숙자 자활 위해 빅이슈 화보 재능 기부 과거에 악플러와 봉사활동도
33,이웃 차량 훼손한 치매 의심 80대 노인 검찰 도움으로 기소 면해
33,로펌 대해부 성공적 조직 개편 세대교체 형사 분야 드림팀 사사건건 맹활약
33,2017 대한민국 문화경영대상 세계로tv신흥국 유망종목 발굴 주력 베트남 글로벌포럼 참석 성과
33,ai 스피커가 새벽 70대 독거환자 살렸다 도와줘 외침에 긴급 출동
33,혈압이 많이 떨어졌네요 충남 구항보건지소 원격 진료 현장 가보니
33,시골경찰 이주승 열혈순경 최민용 자리 노린다 역대급 활약 예고
33,알카타니 에쓰오일 ceo 한국 이름 짓고 봉사 활동
33,아르바이트 자리 잃은 청년에 최대 100만원 긴급 지원
34,공중화장실 에어컨 훔친 뒤 처가에 설치한 공무원 서울서 버스 기사 폭행
34,99억의 여자 정웅인 길해연 집 차지 후 천하태평 악행의 절정
34,현대의료기 독거노인 140가구에 이어 장애인 70가구에 돌침대 흙침대 무상설치 지원
34,육아 고된 엄마 전방 장병들 살뜰히 챙기는 롯데의 손길
34,하이트진로 하이트진로 챔피언십 선수들과 나눔동행 이동 취약계층 차량 지원
34,sk텔레콤 독일 히어와 5g 자율주행 스마트시티 공동 사업 추진
34,내가 기뻐요 79세 팥죽 할머니가 몸소 전한 나눔의 기쁨
34,경기도 도우미견나눔센터 500번째 분양견 꼬마 새 가족 맞아
34,우리는 충분히 돌봄 받고 있는가4서울시 중환자이송팀에 특수구급차 대뿐
34,사는 70대 빌라과 교제 중 수치스러 신고도 못한
35,과하다 vs 환영한다 독일 모든 개 하루에 두번 산책 새법안 갑론을박 김수완의 동물리포트
35,안산시 혈액형 병력 사고 피해자 정보 담긴 안전신분증 보급 나섰다
35,윤균상 유튜버 유정호 관련 글 도움 요청 불편 드려 죄송전문
35,38년간 생명의 전화 상담 박주선씨 지역사회공헌 우수 소상공인 16명 선정
35,로봇 케어 교육까지 ai로 kt ai사업으로 연매출 1조 낼
35,커브스 전국 회원들과 푸드 드라이브 통한 사회공헌 활동 펼친다
35,에쓰오일 사랑의 송편나눔저소득 가정에 5000만원 상당 선물 꾸러미 전달
35,존엄사 허용 d11 현재 식물인간 상태 뇌사 환자는
